Deseo eso también para mi país República Dominicana. Se lo pido a Dios de todo corazón y que esto que hoy El Salvador vive también lo vivan todos los países del Mundo. ❤,12 days ago
Todos los países necesitan algo así solo falta desicion! 👏🏽,4 months ago
Soy del salvador y fue desde 1998,1 year ago
Eso mismo está pasando ahora mismo en Ecuador 😢 es muy triste y muy fuerte,1 year ago
si luicito benistes ami pais otravez me ubiera gustado estar el la biblioteca para conoserte,1 year ago
Felicidades al presidente bukele a todos los salvadoreños y a todos los que hicieron un buen trabajo en equipo 👏 para que su país este con tranquilidad prosperidad y la paz y pronto tendrán más seguridad de dia y de noche y espero que nuestro mexico este libre  algún día estaremos tranquilos y salir por el día y noche y desaparezca para siempre delincuencia robos crimen organizado corrupción trafico de infantes armas y  drogas  inseguridad  narcotrafico   violencia  secuestro  feminicidios homicidios y asesinatos por favor algún día mexico tendrá la seguridad y prosperidad para que los nuevos ciclos de felicidad lleguen te lo mando de todo corazón ❤ y esta es mi petición y que dios proteja al país centroamericano el salvador 🇸🇻🙏 y que nuestro mexico🇲🇽 pronto llegara la paz saludos desde la comunidad de San Diego de las trasquilas  San José Iturbide Guanajuato 😊,1 year ago
perdio calidad el sonido original,1 year ago
 @luismonthez3178  espero que un dia no tan lejano a Mexico llegue un presidente asi y terminar con tanto crimen organizado que asesinan inocentes.,1 year ago (edited)
Me aventé todo el video en inglés y después mire el comentario 🙃🤣,1 year ago
"Para un país pequeño se necesitan acciones pequeñas!
No compares a el salvador con México o colombia por qué son muy distintos los casos. Es realmente más difícil mantener el orden en países más grandes... El salvador apenas llega a los 6.3 millones de habitantes mientras que México supera los 130 millones o colombia que supera los 50 millones. Simplemente no hay comparación ni si quiera en el entorno social",1 year ago
"​ @aracelisfuenmayor6399 los ""derechos humanos""",1 year ago (edited)
 @luisantonioperezarredondo1961  déjame ver tienes un familiar que es pandillero y está preso 🤣,1 year ago (edited)
"Dijiste la definición  correcta a tu sentir  ""empoderamiento"" me parece que es porque en nuestro hermoso país estamos viviendo y a situación de inseguridad horrible y yo por lo menos pienso desde hace  mucho que aquí debería de ser así no tenemos porque alimentar con nuestros  impuestos a quien nos hace tanto daño físicamente y como Sociedad nos roban la tranquilidad y la libertad y cuando entran a la cárcel salen peor porque entran literal a aprender como perfeccionar más y más sus delitos salen siendo de todo! Así que el hecho de que los separen por peligrosidad  y que ganen sus alimentos es lo mejor que vivan un verdadero encierro que sueño para México que está a merced de tanta delincuencia gracias por mostrarnos esa realidad y lo mucho que ha cambiado ese país",1 year ago
creo que si a esos locos los vuelven a sacar a la calle no matarian ni una mosca,1 year ago
Viva El Salvador!,1 year ago
"No estoy defendiendo a los delincuentes. 
Estoy lejos de eso.
Pero creo que Bukele no tendrá presupuesto para atender a tanto enfermo. No puedes tener a seres humanos durmiendo en camas de cemento por años.
Tampoco alimentarlos de ese modo. 
Seguro que ellos alimentas odio rencor 6 deseos de venganza. 
Creo que esta cárcel es una muestra de inhumanidad.
Puedes tenerlos presos y hacerlos pagar sus delitos pero habrá muchas formas de hacerlos útiles a la sociedad.",1 year ago
Sin duda si el crimen en mexico sigue así abra un secot like si crees lo mismo👍,1 year ago
Viva BUKELE!!!👏🏼👏🏼👏🏼👏🏼,1 year ago
"Mis respectos para ese presidente
En México necesitamos algo así.",1 year ago
Esta genial la IA en japonés Luisillo ✌️,1 year ago
Todos cometemos errores en esta vida no deberían vivir así...ni un colchón para dormir bien dónde esta. Los derech9s humanos,1 year ago
Una reelección ilegal y pagarle a un youtuber propaganda punitivista. No pos wow.,1 year ago
Vente a panamá luisito visita una cárcel de Panamá filma Panamá,1 year ago
 @LuisMarioMolinavinces es muy difícil cuando no hay oportunidades eso está claro más en Latinoamérica pero tampoco justifica los asesinatos violaciones y demás crímenes que cometieron.,1 year ago (edited)
​ @tavomontana3302  Ellos eligieron matar a otras personas se merecen su castigo actual aparte tampoco los están golpeando u agrediendo solo los privaron de su libertad en extremo,1 year ago (edited)
Está  bien así deberían ser las cárceles en  México y los anexos  que no están regulados y comen bien hay gente En el mundo que mueren de hambre.. así debería ser también para los malos funcionarios,1 year ago
 @tavomontana3302 yo estuve viviendo en El Salvador y todo mundo me decía que encerraron a un montón de inocentes 🫣 claro que hay personas de las pandillas perooo muchas personas me comentaron eso,1 year ago (edited)
Lo que perdio el salvador se lo paso a peru en delincuensia jaja,4 months ago
Cuando yo fui donde mi abuela mi tío vive al lado de ella osea tiene la casa a la par de mi abu ya era de noche como las 11 algo por ahí le dispararon ala puerta de mi tío y salimos a ver y vimos a alguien corriendo pero no supimos quien era menos mal no le cayo a nadie la bala,1 year ago
​@jorgeroldan3596 Personas inocentes? Realmente crees que es tan fácil cuando hay investigaciones evidencias e incluso los mismos presos contienen tatuajes de sus bandas criminales???,1 year ago
​,1 year ago
Necesita! pero jamás sería una realidad.jamás ni en mil vidas podría un presidente como bukele gobernar de esa forma a un País como México u otros países 😂🤣🤣,1 year ago
EL doblaje en Ingles esta Bien culey con TU voz luisito it sounds horrible AF N irritating 😂😂,1 year ago
Ese es un buen uso de la inteligencia artificial.,1 year ago
En ruso que cagado de risa 2:56,1 year ago
Soy de Ecuador. Yo creo que la seguridad es una de las cosas más importantes porque de verdad sea como sea no hay mejor cosa   que poder salir con tranquilidad por las calles sin tener ansiedad de que pase algo y realmente espero que acá tambn pueda mejorar eso un gran ejemplo para los demás países.,1 year ago
Hay personas que están ahí solo por estar en contra de Bukele por si no sabían. 🤔🤔,1 year ago
Si pero solo es en el centro del.pais  todos los pandilleros se han ido a los pueblos estan haciendo de las suyas ahi,1 year ago
 @belmondfringzgonzalez2999  Se necesita un   Bukele en cada país latino,1 year ago (edited)
Veeeeeersos 😮😮😮 14 millones en 4 días muy bieneh visto montón de tus videosno me suscribo a nadie porque no me gusta pero estoy sorprendida 😮de cuántas visitas 👍,1 year ago
Yo nací en el 2014 y en esos tiempos hera baby soy del 8 de mayo,6 months ago
Y el mundo. Ahí si keremos globalismo Bukele,1 year ago
​ @tavomontana3302 los ricos sin sus esclavos no son nada .. tranquilo los esclavos saben a lo que se meten y NO PORQUE SEAN POBRES ... De eso dale gracias a la ingenuidad y a la ignorancia social establecida por el miedo y control de TERCEROS la vida FUE más que bella para quienes fueron asesinados tu en cambio vives en el odio y mal gastas tu vida .. una vida muy corta,1 year ago (edited)
Me da mucho gusto por el Salvador. Que sean muy felices y estén seguros.,1 year ago
Necesitas leer e informarte un poco más antes de escribir comentarios pendejos lmao,1 year ago
4:57 4:57 😂😂 4:58 😂,3 months ago
Happy you have freedom now.,1 year ago
 @tavomontana3302 lamentanblemente ninguna reforma será perfecta para alcanzar el éxito será necesario (es una pena) que paguen inocentes,1 year ago (edited)
Oraleeeeeee chidooooooo,1 year ago
Hay muchos que viven en El Salvador y se viven quejando de Bukele y la manera que él ha hecho las cosas. Me imagino que son familiares de los pandilleros y por eso se quejan. De lo contrario no tendría sentido estar infeliz por el progreso que ha tenido todo el país. Me intriga mucho porque la mayoría son jóvenes que están en contra no me cabe en la cabeza como preferirían caminar por la calle con miedo a que algo les pase. Pero bueno no se puede hacer cambiar de opinión a fuerzas. Que Bukele siga haciendo lo suyo🙏🏻🙏🏻🙏🏻,1 year ago
 @SmaiquelCubilloRivera  para que no se peguen piojos,1 year ago (edited)
Ugh.,1 year ago
Se nota que no has investigado nada. Te invito a que revises el programa Central de Radio Ambulante y comprendas cómo el estado de excepción y el negociar con las mafias no significa luchar contra la delincuencia.,1 year ago
 @Jair.02 estás defendiendo a violadores solo porque también fueron violados? Sos la burla. Quien viola debe morir ni siquiera debería tener la opción de ir a la cárcel.,1 year ago (edited)
 @Colombia123-x6v  lo que le allá pagado a ti que te importa luisito comuníca bien venido a nuestro hermoso país si mi presidente te abre las puertas de nuestro país también los buenos salvadoreños de bien te recibimos con Alegría bien benido luisito comunica regresa pronto por que este también es tu pais,1 year ago (edited)
Que bueno,1 year ago
Mexico no lo necesita tenemos a Obrador y eso es mejor 🫶🏾,1 year ago
Por un momento me astaba asustando...ver mas,1 year ago
Wow si que gran cambio!!! Es admirable el trabajo de su presidente en México necesitamos un líder así felicidades a los Salvadoreños porque finalmente son libres y caminan sin miedo.,1 year ago
Hey cm le hicistes para tener mucha información ni siquiera TELEMUNDO pudo acaparar una entrevista completa cm la tuya ????,1 year ago
Llora pues floricundia 😂,1 year ago
​ @tavomontana3302 aunque pasara eso prefiero eso siendo que los ricos son menos y no tan sanguinarios tampoco era un rico el que asesinaba en las calles.,1 year ago (edited)
7 MIL SALVADOREÑOS HAN SALIDO LIBRES POR UN ERROR DEL REGUIMEN DE EXCEPCIÓN DE NAYIK BUKELE 🎉🎉🎉🎉🎉 AUN FALTAN MILES MAS,1 year ago
Soy estadounidense contemplando mudar a Salvador en el futuro ❤,1 year ago
​ @DanielMartinez-hi5cv  A QUE VIENE ESO?? SI NO HUBIERA UN BUKELE HUBIERA CAOS TOTAL EN EL SALVADOR!!,1 year ago (edited)
En colombia les dan un puesto en el congreso,1 year ago
Media Republica dominicana tuviera hay xd,1 year ago
Envidia de la buena mi amigo ojalá aquí en mi país lleguemos a algo así,1 year ago
Con respeto te pregunto : Se puede ir a Vacacionar a Él Salvador sin problemas?,1 year ago
​ @isabelsalmeronjuarez1220 no es raro es lo más justo que paguen y sigan pagando por toda la sangre que hicieron correr,1 year ago (edited)
Abrazos no balazos 😂😂😢😢,1 year ago
Siendo salvadoreño me da satisfacción ver esto porque en el pasado mi familia sufrió bastante por culpa de ellos. Gracias sr Bukele por darnos la paz que nuestra nación necesitaba. Por 5 años más.,1 year ago
mola mucho lo de las pistas de audio en diferentes idiomas. Las IAs son una pasada 🤯🤯,1 year ago
¿Usted mismo se dobla en inglés? Si es así bien 👍🏻,1 year ago
